affiliation,abbrev_affiliation,campus,city,lat,long
University of the Western Cape,UWC,Bellville,Bellville,-33.9335158,18.6257693
University of the Witwatersrand,WITS,East Campus,Braamfontein,-26.191684,28.0305727
University of the Witwatersrand,WITS,West Campus,Braamfontein,-26.189055,28.025411
University of Venda,UNIVEN,Thohoyandou,Thohoyandou,-22.977941,30.440298
University of Zambia,UNZA,Zambia,Lusaka,-15.4079945,28.3023878
University of Zululand,UNIZULU,KwaDlangezwa,KwaDlangezwa,-28.8051079,31.8797955
Unknown,Unknown,Durban,Durban,-29.848212,30.9224217
Unknown,Unknown,Cape Town,Cape Town,-33.927068000000006,18.420523
Unknown,Unknown,Unknown,Unknown,NA,NA
Vaal University of Technology,VUT,Vanderbijlpark,Vanderbijlpark,-26.7105002,27.8602903
Walter Sisulu University,WSU,Buffalo City,East London,-33.0156556,27.8346646
Walter Sisulu University,WSU,Chiselhurst,Chiselhurst,-32.9667881,27.7842275
Walter Sisulu University,WSU,Ibika,Butterworth,-32.2963853,28.2161413
Walter Sisulu University,WSU,Mthatha,Mthatha,-31.5978789,28.7539696
Walter Sisulu University,WSU,Potsdam,Potsdam,-32.9581464,27.7148763
Walter Sisulu University,WSU,Queenstown,Queenstown,-31.8962925,26.8810913
Wonga,Wonga,Cape Town,Cape Town,-33.9188236,18.4187858
Research and Education Network - Uganda,RENU,Kampala,Kampala,0.331662,32.568624
